,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
404,Data Scientist,Ruangguru.com,1 month ago,52 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
405,Operation Risk Policy Specialist,Traveloka,3 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Management', 'Manufacturing']","1,001-5,000 employees"
406,Senior Product Manager - Jakarta,Halodoc ID,1 day ago,Be among the first 25 applicants,Associate,,Full-time,"['Product Management', 'Marketing']",201-500 employees
407,Data Engineer - Bandung,Agate,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Games']",Full-time,Information Technology,
408,Data Engineer,iSeller,3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
409,Data Analyst Intern,ICUC,7 hours ago,Be among the first 25 applicants,Internship,"['Marketing and Advertising', 'Online Media', 'Financial Services']",Internship,Information Technology,
410,Data Engineer - Jakarta,NuWorq,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
411,Analyst - Analytics & Cognitive - ID,Deloitte,1 month ago,126 applicants,Entry level,"['Management Consulting', 'Information Technology and Services', 'Computer Software']",Full-time,Other,"10,001+ employees"
412,Business Analyst,Refactory.id,2 weeks ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,Business Development,
413,Business Intelligence Lead,OVO (PT Visionet Internasional),3 days ago,Over 200 applicants,Mid-Senior level,"['Information Technology and Services', 'Financial Services']",Full-time,Information Technology,"501-1,000 employees"
414,Software Engineer Senior,FIS,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
415,Data Engineer,DKATALIS (Digital Katalis),2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,201-500 employees
416,Lowongan DevOps,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,Other,
417,Software Engineer (Merchant Payment),Gojek,3 weeks ago,120 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
418,Data Analyst,Ruangguru.com,2 months ago,184 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
419,Sales manager - Food ingredient,Michael Page,7 days ago,65 applicants,Mid-Senior level,"['Chemicals', 'Food & Beverages', 'Food Production']",Full-time,"['Business Development', 'Distribution', 'Sales']","5,001-10,000 employees"
420,Senior Data Analyst,Rukita,3 weeks ago,30 applicants,Associate,"['Internet', 'Financial Services', 'Real Estate']",Full-time,Information Technology,
421,Data Engineer,PT Bank Jago Tbk,1 month ago,152 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,201-500 employees
422,Fleet Support Data Assistant Manager,Ninja Van,1 month ago,79 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Other,"501-1,000 employees"
423,Digital Business Analyst (CX/UX),Kanmo Group,4 days ago,Be among the first 25 applicants,Associate,Retail,Full-time,"['Business Development', 'Sales']",
424,CVM Data Scientist,Monroe Consulting Group,18 hours ago,Be among the first 25 applicants,Entry level,Marketing and Advertising,Full-time,"['Engineering', 'Information Technology']",51-200 employees
425,Data Engineer - General Motors,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,Information Technology,
426,Data Scientist,Traveloka,4 days ago,156 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
427,Lowongan Data Analyst,PT IDcommerce Service Solution,3 weeks ago,51 applicants,Entry level,Package/Freight Delivery,Full-time,Information Technology,
428,Fleet Support Data Assistant Manager,Ninja Van,1 month ago,79 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Other,"501-1,000 employees"
429,Business Analyst (Buyer) - South Jakarta,ULA,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
430,System Engineer,PT. Global Infotech Solutions,4 weeks ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,Engineering,
431,Digital Transformation Manager (Consumer Healthcare),Monroe Consulting Group,13 hours ago,Be among the first 25 applicants,Mid-Senior level,"['Consumer Goods', 'Pharmaceuticals']",Full-time,"['Information Technology', 'Project Management']",51-200 employees
432,Product Line Manager APAC Packaging Adhesives,Henkel,4 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,"['Product Management', 'Marketing']","10,001+ employees"
433,Junior Software Engineer (Remote),Forstok,2 weeks ago,85 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
434,Sales Analyst,PT FRUTERS INDONESIA PERKASA,5 days ago,Be among the first 25 applicants,Entry level,Food & Beverages,Contract,Marketing,
435,Business Analyst,PT Meverest Ventures International,2 weeks ago,Be among the first 25 applicants,Associate,Information Services,Full-time,"['Business Development', 'Sales']",
436,Data Analyst Lead - PayLater,Traveloka,4 days ago,Be among the first 25 applicants,Associate,Hospitality,Full-time,Information Technology,"1,001-5,000 employees"
437,Talend ETL Developer,NTT INDONESIA DIGITAL BUSINESS SOLUTIONS,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Business Development', 'Sales']",
438,Business Analyst,Ruang Scale Up,4 months ago,133 applicants,Not Applicable,Marketing and Advertising,Full-time,"['Business Development', 'Sales']",
439,Data Analyst Marketplace,JD .ID (PT Ritel Bersama Nasional),2 months ago,138 applicants,Entry level,Retail,Full-time,Information Technology,
440,Business Analyst (Data Analyst),Glints,2 months ago,Over 200 applicants,Mid-Senior level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",201-500 employees
441,Sr. Data Scientist - CVM,PT. XL Axiata Tbk,2 weeks ago,Over 200 applicants,Associate,"['Telecommunications', 'Internet', 'Computer & Network Security']",Full-time,"['Analyst', 'Marketing', 'Business Development']","1,001-5,000 employees"
442,Lowongan System Engineer,PT Sentra Vidya Utama,2 weeks ago,Be among the first 25 applicants,Entry level,Management Consulting,Full-time,Information Technology,
443,Fullstack Developer,OrderOnline.id,6 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
444,Senior Analyst,Ogilvy,2 months ago,51 applicants,Associate,"['Marketing and Advertising', 'Information Technology and Services', 'Human Resources']",Full-time,"['Research', 'Analyst', 'Information Technology']","10,001+ employees"
445,System Engineer - Global Telecom Network,Michael Page,2 months ago,99 applicants,Entry level,"['Telecommunications', 'Biotechnology', 'Information Technology and Services']",Full-time,Information Technology,"5,001-10,000 employees"
446,"Management Consultant, Business Insight - ID",ADA,2 weeks ago,Over 200 applicants,Mid-Senior level,"['Marketing and Advertising', 'Management Consulting']",Full-time,"['Consulting', 'Information Technology', 'Sales']",201-500 employees
447,Data Scientist,Ruangguru.com,1 month ago,105 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
448,Software Engineer (Backend),ADVANCE.AI,14 hours ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Internet']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
449,Data Analyst (Sales & Traceability),PT Koltiva,3 weeks ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
450,Business Intelligence Analyst,PT Bank Sinarmas Tbk,5 days ago,Over 200 applicants,Mid-Senior level,Banking,Full-time,"['Business Development', 'Analyst', 'Information Technology']","1,001-5,000 employees"
451,Data Scientist,Mamikos.com,6 days ago,77 applicants,Associate,Internet,Full-time,"['Engineering', 'Information Technology']",201-500 employees
452,Procurement and Supplier Development Manager,Pt Amazon Data Srvcs Indonesia,18 hours ago,Be among the first 25 applicants,Mid-Senior level,Hospitality,Full-time,"['Engineering', 'Information Technology']",
453,Software Engineer - Web (Transport),Traveloka,4 days ago,29 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
454,Risk Portfolio Senior Analyst,Citi,4 weeks ago,147 applicants,Mid-Senior level,"['Banking', 'Financial Services', 'Investment Banking']",Full-time,"['Accounting/Auditing', 'Quality Assurance']","10,001+ employees"
455,"Manager (Statistical Analyst) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,4 weeks ago,49 applicants,Associate,Internet,Full-time,"['Research', 'Analyst', 'Information Technology']","1,001-5,000 employees"
456,IT / ERP System Engineer - Automotive Industry,Flintex Consulting Pte Ltd,2 weeks ago,Be among the first 25 applicants,Executive,Automotive,Full-time,Information Technology,11-50 employees
457,Customer Success Manager,Michael Page,3 weeks ago,Be among the first 25 applicants,Associate,"['Telecommunications', 'Biotechnology', 'Information Technology and Services']",Full-time,"['Business Development', 'Sales']","5,001-10,000 employees"
458,Sales Manager - printing and packaging company,Michael Page,5 months ago,43 applicants,Entry level,"['Mechanical or Industrial Engineering', 'Electrical/Electronic Manufacturing']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
459,Senior Sales Marketing for Mineral and Metal Resources,RGF,2 days ago,Be among the first 25 applicants,Associate,"['Automotive', 'Consumer Goods', 'Financial Services']",Full-time,"['Sales', 'Business Development']",
460,Liabilities and Payment Compliance Specialist,Traveloka,3 weeks ago,57 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Finance', 'Sales']","1,001-5,000 employees"
461,SYSTEM ANALYST,Datacell Infomedia PT,5 months ago,Be among the first 25 applicants,Entry level,"['Computer Hardware', 'Computer Software', 'Computer Networking']",Full-time,Information Technology,
462,Data Engineer and Analytics,FinAccel,2 months ago,27 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,51-200 employees
463,Mechanical Engineer,RGF HR Agent,1 month ago,Over 200 applicants,Entry level,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
464,Data Analytics and Visualizer,De Heus Voeders B.V.,4 weeks ago,120 applicants,Associate,Farming,Full-time,Information Technology,"5,001-10,000 employees"
